year,project,type,institution,frequency (MHz),transmitter_power_kW,destination_name,destination_type,year_arrival,distance_ly, Code_type,country ,scope
1960,Project Ozma,Reception,USA (Rice University),1420,,Tau Ceti,Star,,,,USA,passive search for extraterrestrial signals
1962,Morse Message,Radio transmission,Yevpatoria (URSS/Ucraina),,,Librae ,Star (Venus)  ma non interstellare,,,,URSS / Ucrain,"radar test, symbolic Morse message"
1972‑1973,Pioneer Plaques,physical message,NASA,,,Aquila ,Physical plaque on spacecraft,,24100,Pictorial plaque (engraved),USA,Symbolic: leaving a trace of humanity in space.
1974,Arecibo Message,Radio transmission,Arecibo Observative (USA),2380,450,Messier 13 (M13),Globular cluster,2074,,1679-bit binary image arranged 23x73,USA,Technology demonstration / symbolic message.
1977,Voyager Golden Record,Physical message,NASA,,,Interstellar ,Physical phonograph record a bordo delle Voyager 1 & 2,,,Analog audio + images encoded on analog phonograph,USA,"Cultural message: image, sounds, music of humanity."
1983,Message to Altair (“CALL to the COSMOS ’83”),Radio transmission,Stanford ,424,,Altair,Stella,2000,,,USA (Stanford) ,"Symbolic, cultural / outreach message."
1986,Poetica Vaginal,Radio transmission,MIT / Joe Davis,,,Epsilon Eridani / Tau Ceti ,Stella,,,,USA,"Artistic / biotechnological project, exploration of biological language."
1999,Cosmic Call 1,Radio transmission,"RT-70, Evpatoria (Ucraina) / Team Encounter",5010,150,"Sagitta, Sagitta, Cygnus",Sistemi stellari,2068,30-80 ,"Interstellar Rosetta Stone (IR; DDM/ISR), images, audio, binary glossaries",Team Encounter ,Educational message / “encyclopedia” interstellar.
2001,Teen Age Message (TAM),Radio transmission,"Yevpatoria, Ukraine",5010,96–126 ,"Ursa Major, Gemini, Virgo, Hydra, Draco ",Stella / sistemi solari,2046,46–69 ,digital images/text + primer/lexicon (Dutil/Dumas style),Ucraina / Zaitsev (Russia),"Youth involvement, music content (theremin), lyrics, images."
2003,Cosmic Call 2,Radio transmission,"RT-70, Evpatoria (Ucraina) / Team Encounter",5010,150,"Cassiopea, Andromeda, Cancer, Orione",Sistemi stellari,2044,42,"similar structure to Cosmic Call 1999 (primers, images, PP)",Team Encounter (USA/Ucraina),"Message continuation “Rosetta”, decoding exploration."
2008,A Message From Earth (AMFE),Radio transmission,"RT‑70, Evpatoria (Ucraina)",,,Gliese 581 (exoplanet) ,Exoplanet,2029,"20,55","Digital time capsule (501 messages, assorted formats)",Ucraina (Zaitsev),"Digital time capsule (messages from users, images, text)"
2008,Across the Universe,Radio transmission,NASA / DSN (Madrid),7145 MHz,18,Librae ,Stella supergigante,,431,,USA / Spain,"Musical message (“Across the Universe” by the Beatles), outreach/cultural."
2009,Hello From Earth,Radio transmission,Australia (Canberra DSCC) / COSMOS magazine, 7145 MHz,,Gliese 581 / exoplanet,Exoplanet o sistema,,"20,55",Packaged short text messages (160-char messages),Australia,"Messages collected from the public (crowdsourcing), cultural / participatory."
2012,Wow! Reply,Radio transmission,SETI,,,"Hipparcos 34511, Hipparcos 33277, Hipparcos 43587",Stelle / sistemi stellari,2030,,,various/ project METI,Symbolic response to the famous “Wow! signal”.
2013,Lone Signal,Radio transmission,"Jamesburg Earth Station, USA",1 426.45 MHz ,,Gliese 526,Red dwarf ,2031,"17,73",Hailing beacon protocol; user-submitted messages,USA,"Crowdfunded: Anyone could send short messages, continuous beacon."
2016,A Simple Response to an Elemental Message (ASREM),Radio transmission,ESA / University of Edinburgh + altri,7168.0089310 MHz,34.53.00,Polaris (α UMi),Stella,2450,"433,8","Digital images/messages, 256 kb/s","Europ (ESA, UK, Spain, etc.)","Public message: 3,775 global responses on environmental / future issues, images, text."
2017,Sónar Calling GJ273b,Radio transmission,METI International + EISCAT Tromsø (Norvegia),931,1 500 ,Luyten’s Star (GJ 273) / esopianeta GJ 273b,Red dwarf + esopianeta,2029,"12,36",Music and musical 'lesson' transmissions; analog/digital mix,Norway / Spain (METI + festival Sónar),"Musical message + mathematical and cultural data, outreach / artistic."
2022,A Beacon in the Galaxy (BITG),Radio proposal,Jonathan H. Jiang et al.,,,Dense region of stars in the Milky Way (“ring”),Zona stellare / galattica,n.d. / progetto,,,Cina (FAST) / USA (Allen Telescope Array) (proposto),"Technological / scientific message: mathematics, biology, position of the Solar System, invitation to reply."
2023,Message in a Bottle (MIAB) – aggiornamento Golden Record,Conceptual message ,Jonathan H. Jiang & team,,,conceptual,concettuale / “capsula culturale”,–,,,International,"Continuation of the Voyager Golden Record: modern design to tell the story of humanity, science, aspirations."
